cp_bar,cp_time,cp_type,ret_2,ret_6,ret_12,ret_30
942,2022-06-07 00:00:00+00:00,down,-0.0021837211484482277,0.014670846431122568,0.023859983725141764,-0.07115238354633809
1197,2022-07-19 12:00:00+00:00,up,-0.00023943186353886218,0.032052448428618076,-0.03293276245005349,-0.02399068086046695
1508,2022-09-09 08:00:00+00:00,up,0.0010108490816908135,0.000963855496306659,0.016024458392814907,-0.05009449304518047
1534,2022-09-13 16:00:00+00:00,down,0.007446477583305484,-0.011342446327605903,-0.019410986700408334,-0.02241424290489277
1618,2022-09-27 16:00:00+00:00,down,-0.017674856581706994,0.024070707900598533,0.017115319506999044,0.009576392798988932
1637,2022-09-30 20:00:00+00:00,down,-0.00529532279499444,-0.005373023878963743,-0.018649747187987797,0.037518936190997776
1658,2022-10-04 08:00:00+00:00,up,0.006019017965712632,-0.0032952572673041435,0.007230345258681499,-0.031919217149858486
1870,2022-11-08 16:00:00+00:00,down,-0.012525511705387769,-0.10034332772922804,-0.06092074313525269,-0.11336580696287511
2038,2022-12-06 16:00:00+00:00,down,-0.0035898677689143467,-0.016001002426758622,0.00951625019189358,0.005308336138444379
2268,2023-01-14 00:00:00+00:00,down,-0.008629830369723581,-0.00848032434218203,0.008152930815159526,-0.007882523652335558
2309,2023-01-20 20:00:00+00:00,down,0.0039758139024793,0.010599433797323747,0.007200619889297913,0.02275860634257069
2361,2023-01-29 12:00:00+00:00,up,-0.006562163401984483,-0.03050675020964301,-0.033302021241797014,-0.012442868288573083
2597,2023-03-09 20:00:00+00:00,down,-0.004961870877908801,0.004887721763673412,0.02001578328662368,0.20825942935777433
2624,2023-03-14 08:00:00+00:00,up,-0.033186768342123536,-0.044537372971286744,-0.042972982683689216,0.04677890741115782
2627,2023-03-14 20:00:00+00:00,down,0.00606042923882401,-0.018503636254928162,0.010005713653173463,0.1221350769402076
2642,2023-03-17 08:00:00+00:00,up,0.01567949541639147,0.038160633836543265,0.027616905383494816,0.06240871899669801
2646,2023-03-18 00:00:00+00:00,down,0.003215806567145411,-0.0057638949160647695,-0.003207842183045501,-0.0002998413057516238
2788,2023-04-10 16:00:00+00:00,up,0.016163381844738655,0.016698019574006094,0.005601520051118652,0.02321351977707633
2884,2023-04-26 16:00:00+00:00,down,0.01678681001404702,0.043551196611760365,0.031943249731127686,-0.019990066285284915
3274,2023-06-30 16:00:00+00:00,down,-0.002267820611269653,0.004595435260480823,0.003035421011904327,-0.0013206266024941547
3309,2023-07-06 12:00:00+00:00,down,-0.013967552442871588,0.0026635914874273458,-0.0032368319237808577,0.009556561632994105
3358,2023-07-14 16:00:00+00:00,down,-0.0005712465050924501,0.0005412273451920041,-0.0017775491689101183,-0.008649767070293891
3511,2023-08-09 04:00:00+00:00,up,-0.004283336947241032,-0.01256645329409144,-0.015869761130421413,-0.015740547226825566
3563,2023-08-17 20:00:00+00:00,down,0.001056824284862819,-0.013115317315813384,-0.011342838604908867,-0.013027002685285475
3752,2023-09-18 08:00:00+00:00,up,-0.01685512138261735,-0.0012664479301355291,-0.006381567433772917,-0.025875958071898398
3966,2023-10-24 00:00:00+00:00,down,0.015285550887105771,-0.0006555979626112093,0.0220153872146995,-0.001320454439886813
4066,2023-11-09 16:00:00+00:00,down,0.0009636010022309265,0.014437951041323654,0.01240654961672267,-0.0392578603185347
5225,2024-05-20 20:00:00+00:00,down,-0.00558735290147275,-0.016326304770043376,-0.029953236462524256,-0.028577395744819628
6868,2025-02-18 16:00:00+00:00,up,0.0005238007983047499,0.005609511747360814,0.02833296041911489,0.0008832976320204829
6904,2025-02-24 16:00:00+00:00,up,0.006652177277450623,-0.040134953343242845,-0.08768263349915482,-0.06878605601907087
6948,2025-03-04 00:00:00+00:00,down,0.008748360938115473,0.04300404346403871,0.09627019627678897,0.03448415829832049
7072,2025-03-24 16:00:00+00:00,up,-0.01133731201926869,0.006700314729185424,-0.010783563422003973,-0.055723951970731087
7807,2025-07-25 04:00:00+00:00,up,-0.007039031269065092,0.006702544032956841,0.01346209098751191,0.01345785669029732
7908,2025-08-11 00:00:00+00:00,up,-0.008177514322119543,-0.0226489713137878,-0.017419978471455853,-0.03474151060591123
8091,2025-09-10 12:00:00+00:00,up,0.003267936529497165,0.005245841656874985,0.013471478296035105,0.01106559477492386
8266,2025-10-09 16:00:00+00:00,up,-0.0051001986121271175,-0.041771997349272894,-0.08989573297329992,-0.07722335702828631
8273,2025-10-10 20:00:00+00:00,down,-0.01727980835694625,-0.015103432393668199,0.02317891126752796,-0.014019728116251177
8950,2026-01-31 16:00:00+00:00,down,0.0015171417679367576,-0.020076491197292573,-0.005192169925918045,-0.1876966316491594
8982,2026-02-06 00:00:00+00:00,down,0.02701741912556613,0.08961004265106683,0.06356531847895042,0.0501388153117375
9130,2026-03-02 16:00:00+00:00,up,-0.006598585674776255,-0.005917026076283728,0.06714606041510497,-0.025901669149733002
9140,2026-03-04 08:00:00+00:00,up,0.0032738957052709065,-0.0062891912653793925,-0.04395891031262025,-0.07967178595495279
9148,2026-03-05 16:00:00+00:00,down,0.0026863967017053385,-0.03964081527137639,-0.0553044743688192,-0.012063187602244351
9405,2026-04-17 12:00:00+00:00,up,-0.00412231749327803,-0.015950964232056396,-0.020126511526381907,0.024084222875168485
9435,2026-04-22 12:00:00+00:00,up,-0.008303054562187124,-0.005882126550831408,-0.010000172623327109,-0.02611891353776265
9513,2026-05-05 12:00:00+00:00,up,-0.008527520901102417,0.0012499174476137576,-0.020975145744852586,-0.0021235365709760612
