variant,breakout_n,breakout_net_PF,breakout_net_t,breakout_gross_PF,breakout_gross_t,fade_n,fade_net_PF,fade_net_t,fade_gross_PF,fade_gross_t
base,344,1.122911489442033,0.7658250190856574,1.2430501512829162,1.4154604159405124,173,0.8001003686390098,-1.4247866083544618,0.8770753471583005,-0.8409692382891242
dev_breakout_-1.0,374,1.1448654071084197,0.9120428786253114,1.2631042651207562,1.5494433172968378,173,0.8001003686390098,-1.4247866083544618,0.8770753471583005,-0.8409692382891242
dev_breakout_-2.0,317,1.2194857092618565,1.259787729653556,1.3537187642934356,1.8934317061265291,173,0.8001003686390098,-1.4247866083544618,0.8770753471583005,-0.8409692382891242
dev_fade_1.5,344,1.122911489442033,0.7658250190856574,1.2430501512829162,1.4154604159405124,186,0.7767900463959175,-1.6736175287168327,0.8524134942349013,-1.061710574277958
dev_fade_2.5,344,1.122911489442033,0.7658250190856574,1.2430501512829162,1.4154604159405124,153,0.7077941294069703,-2.08623521250566,0.7748264824999458,-1.543923177234563
hl_5_60,503,1.1088935111935592,0.8494200569868219,1.224514253577913,1.638707946084258,235,0.8448574403364504,-1.2541841085854586,0.922471468057764,-0.6026143490280965
hl_10_30,218,1.1453235037212461,0.7148376751801041,1.2672756429944172,1.227606852256116,123,0.6840723184456171,-2.0508841762957575,0.7524666937971097,-1.5402478804638513
ou_window_90,373,1.3634875644953695,1.9655597579648338,1.4901952687764644,2.490479798601501,228,0.7917057232999185,-1.6961982135971343,0.8695977248297124,-1.0186905724331394
ou_window_360,189,0.9401205362088163,-0.3254162479424116,1.0398467856181677,0.20239788254454918,72,0.8441923113791208,-0.69911660519321,0.9217252677990049,-0.3379528082910399
rv_window_21,565,1.2924238917543156,2.1298618947897894,1.425112776620626,2.895662596469762,307,0.7637542778510382,-2.2855108718808452,0.8284038658027802,-1.601890778913462
rv_window_84,199,1.236216550990813,0.9730215100429678,1.35852260377045,1.3807345024179558,92,0.8739135661061896,-0.6241708951396864,0.9637993360713262,-0.17154143106140662
